|------|-------|------|------------------------------------------------------------------------------------------------------------------|----------------------------------------------------------------------|
| year | month | page | title                                                                                                            | by                                                                   |
|------|-------|------|------------------------------------------------------------------------------------------------------------------|----------------------------------------------------------------------|
| 2015 | 9     | 3    | GREETINGS from Gary and Bob                                                                                      | Gary Stearman && Bob Ulrich                                          |
|------|-------|------|------------------------------------------------------------------------------------------------------------------|----------------------------------------------------------------------|
| 2015 | 9     | 4    | YEARS of SEVEN                                                                                                   | Gary Stearman                                                        |
|------|-------|------|------------------------------------------------------------------------------------------------------------------|----------------------------------------------------------------------|
| 2015 | 9     | 10   | INHUMAN: THE NEXT AND FINAL PHASE OF MAN IS HERE                                                                 | Dr. Thomas R. Horn (Thomas Horn)                                     |
|------|-------|------|------------------------------------------------------------------------------------------------------------------|----------------------------------------------------------------------|
| 2015 | 9     | 13   | BOOK REVIEW TIME TRAVELERS OF THE BIBLE                                                                          | Bob Ulrich                                                           |
|------|-------|------|------------------------------------------------------------------------------------------------------------------|----------------------------------------------------------------------|
| 2015 | 9     | 16   | IS THE "RAPTURE" AN APOSTASIA?                                                                                   | C.J. Lovick                                                          |
|------|-------|------|------------------------------------------------------------------------------------------------------------------|----------------------------------------------------------------------|
| 2015 | 9     | 20   | BIBLICAL LANDS INSIDER                                                                                           | Daniel M. Wright                                                     |
|------|-------|------|------------------------------------------------------------------------------------------------------------------|----------------------------------------------------------------------|
| 2015 | 9     | 29   | HEBREW ALPHABET SECRETS REVEALED                                                                                 | Dr. Danny Ben-Gigi (Danny Ben Gigi)                                  |
|------|-------|------|------------------------------------------------------------------------------------------------------------------|----------------------------------------------------------------------|
| 2015 | 10    | 3    | GREETING LETTER                                                                                                  | Gary Stearman                                                        |
|------|-------|------|------------------------------------------------------------------------------------------------------------------|----------------------------------------------------------------------|
| 2015 | 10    | 4    | THE SEVEN-YEAR TRIBULATION: IS IT, OR ISN'T IT?                                                                  | Gary Stearman                                                        |
|------|-------|------|------------------------------------------------------------------------------------------------------------------|----------------------------------------------------------------------|
| 2015 | 10    | 9    | ASK GARY!                                                                                                        | Gary Stearman                                                        |
|------|-------|------|------------------------------------------------------------------------------------------------------------------|----------------------------------------------------------------------|
| 2015 | 10    | 10   | IS GOG JUST A TURK?                                                                                              | Doug Woodward                                                        |
|------|-------|------|------------------------------------------------------------------------------------------------------------------|----------------------------------------------------------------------|
| 2015 | 10    | 13   | BOB'S REFLECTIONS ON THE MASTER MATHEMATICIAN                                                                    | Bob Ulrich                                                           |
|------|-------|------|------------------------------------------------------------------------------------------------------------------|----------------------------------------------------------------------|
| 2015 | 10    | 16   | THE MYSTERY OF REST: SABBATH DAY SOLVED                                                                          | C.J. Lovick                                                          |
|------|-------|------|------------------------------------------------------------------------------------------------------------------|----------------------------------------------------------------------|
| 2015 | 10    | 20   | JEREMIAH 49: JORDAN WILL TREMBLE AND FALL!                                                                       | Bill Salus                                                           |
|------|-------|------|------------------------------------------------------------------------------------------------------------------|----------------------------------------------------------------------|
| 2015 | 10    | 28   | HEBREW ALPHABET SECRETS REVEALED: URIM AND THUMMIM                                                               | Dr. Danny Ben-Gigi (Danny Ben Gigi)                                  |
|------|-------|------|------------------------------------------------------------------------------------------------------------------|----------------------------------------------------------------------|
| 2015 | 11    | 3    | A FEW THOUGHTS                                                                                                   | Gary Stearman                                                        |
|------|-------|------|------------------------------------------------------------------------------------------------------------------|----------------------------------------------------------------------|
| 2015 | 11    | 4    | IS THIS GENERATION THE LAST GENERATION?                                                                          | Gary Stearman                                                        |
|------|-------|------|------------------------------------------------------------------------------------------------------------------|----------------------------------------------------------------------|
| 2015 | 11    | 9    | ASK GARY!                                                                                                        | Gary Stearman                                                        |
|------|-------|------|------------------------------------------------------------------------------------------------------------------|----------------------------------------------------------------------|
| 2015 | 11    | 10   | AS IN THE DAYS OF NOAH: THE COMING POLE SHIFT                                                                    | Brent Miller Sr.                                                     |
|------|-------|------|------------------------------------------------------------------------------------------------------------------|----------------------------------------------------------------------|
| 2015 | 11    | 13   | THE MASTER MATHEMATICIAN                                                                                         | Bob Ulrich                                                           |
|------|-------|------|------------------------------------------------------------------------------------------------------------------|----------------------------------------------------------------------|
| 2015 | 11    | 16   | WHAT DO FUKUSHIMA, UFOS AND THE MIDDLE EAST HAVE IN COMMON?                                                      | L.A. Marzulli                                                        |
|------|-------|------|------------------------------------------------------------------------------------------------------------------|----------------------------------------------------------------------|
| 2015 | 11    | 20   | BIBLICAL LANDS INSIDER THE TEMPLE LOCATION QUESTION: TRUMPETING SOLID EVIDENCE                                   | Daniel M. Wright                                                     |
|------|-------|------|------------------------------------------------------------------------------------------------------------------|----------------------------------------------------------------------|
